,Unnamed: 0,post
0,0, 
1,1,  tell story start quivalent highschool country decide want fall love heartbreak example thin gf sorry start talle guy class bestfriend feel good remember want relationship decide love couple month later talk bestfriend c later tell tell like girl class talking lot thought bit realize girl class talking couple week thinking realize total love course tell bestfriend c like Fuck think love answer Fuck love moment decide tell gut ask dare happily nearly year sorry perfect english native speaker
2,2,  second true thought reproduction camp arian male baby arian female
3,3,  eh mais salut robin je vois qu on regarde le meme trucs
4,4,  car dare forget car
5,5,  yes hello dumb m sorry
6,6,  hello big potterhead irl genuinely spell english language oupsie think Dumbledore reckless manipulative cunt
7,7,  Living Switzerland love beach island anywere hot switzerland personnally nt understand anerican love Paris
8,8,  EAT SHORTS
9,9,  make think panic disco song
10,10,  upvote thinking dad
11,11,  point know suppose explain
12,12,  school like h30 year sex ed learn condom
13,13,  Soo mean unintereste
14,14,  Salted butter
15,15,  m eat popcorn
16,16,  cute
17,17,  talk gappy like friend nt like nt share time
18,18,  pilot
19,19,  total genuise
20,20,  okay traim teenager m guy girl think see eachother guy like hey blablabla ask girl hey witg boyfriend btw Answer girl oh cheat cheated guy time make everybody laugh hard tell
21,21,  mercy main feel fear
22,22, 
23,23,  hi live Switzerlnd equivalent highschool like essay page problematic choose choose internet addiction people year old survey need people answer Thank answer year old https doc google com form d ORqz6pEA6rzPIXoyFR5s55EhR36y5GousUzdHYuaxPQ edit https doc google com form d ORqz6pEA6rzPIXoyFR5s55EhR36y5GousUzdHYuaxPQ edit way big internet addict ok interview tell great Thank everone
24,24,  hi everybody need fill poll school people aged year old answer question grateful https doc google com form d ORqz6pEA6rzPIXoyFR5s55EhR36y5GousUzdHYuaxPQ edit https doc google com form d ORqz6pEA6rzPIXoyFR5s55EhR36y5GousUzdHYuaxPQ edit
25,25, 
26,26,  understand french understand english
