,Unnamed: 0,post
0,0,  answer match question college education gender far know income
1,1,  year low possible visit health professional year
2,2,  Mark Williams rank th think qualified
3,3,  specialize bird reptile insect way cold mainly inside plus nice pasture summer warm country
4,4,  goth stay
5,5,  win summer job tech competition sadly job turn market young woman want social medium stuff marketing email etc totally clueless Fair pretty mad totally useless department rescue small company know eachother
6,6,  woman drink dress provocatively deserve suppose answer compliment nice pet raise find partner sure deserve imply harassment absolutely
7,7,  iceland
8,8,  Alfred J Kwak
9,9,  lovely sighthound certainly lucky
10,10,  hour month unlimited play local club table amazing club near apartment additional travel cost
11,11,  nearsighted farsighte option wear glass astigmatism
12,12,  pretty funny question math student
13,13,  lose choose statistic pure math want peacock farmer forget
14,14,  option medication headache
15,15,  pay compost probably free service confuse realize free
16,16,  wear glass retrospectively think pretty obvious rarely need glass everyday activity astigmatism throw depth angle think impact game
17,17,  know feel physical contact bother definitely like luckily show affection big deal culture
18,18,  yes follow question sense family totally non religious sort nan option maybe solve issue
19,19,  people religious family upbringing answer
20,20,  love darkness hate winter October November perfect long snow stay away
21,21,  solve Europe problem wait
22,22,  feel like find easy obvious answer complex question way view relationship pretty immediately change annoying thing society curse
23,23,  possible use operating system answer
24,24,  pot yellow cushion lenght table pretty bad position begin nice lead decide excited miss easy green mile high break get well hopefully
25,25,  experience weird rib thingy feel low rib shift wear corset corset low rib flare bit flexible probably cause odd movement sore remember Orchard corset have straight stiff take extra work slightly bend natural curve maybe fit right
26,26,  Switzerland French speak unorganized seriously heavily armed police frighten start worry need
27,27,  sauna jump naked snow snow sharp crust like glass Cut shin pretty badly
28,28,  Star Wars
29,29,  nope nearly hour bike check possible route absolutely swamp motorway gigantic cemetary aiport home campus bus use motorway quick
30,30,  Russian Python embroidery snooker
31,31,  minute bus literally option campus walking option motorway airport block way
