,Unnamed: 0,post
0,0,  il tait une fois la Vie Netflix watch instead study bio class school
1,1,  wild belgian appear
2,2,  thank genuinely nice joyful people fun secretly like
3,3,  french friend depend region maybe normally precede start vowel
4,4,  hijab cover face think France want remain lac state visible religious sign talk ban headscarf nun
5,5,  think Parliament almighty country
6,6,  admit bread good hate compliment french
7,7,  hear daily tv news programme way long normal hour typically know true news belgium typically last minute guess like thorough
8,8,  Wtf real city think american like recycle
9,9,  Middle Ages pretty old usually old city wall believe shit
10,10,  think actually std belgian mussel dare
11,11,  hmmm think french tricky maybe pronunciation bad think trickiest thing le liaison speak basically case letter word pronounce sentence say word Ex j ai beaucoup aim p vs il beaucoup d amis p usually letter word come right word start vowel complicate hard naturally
12,12,  pricey potato
13,13,  usually blunt ask try noise eat experience mad shrug noisy little bastard live invest noise cancel headphone
14,14,  usually tell people feel like asshole definitely stop hang people eat time drive insane
15,15,  compliment netherland genuinely think talk dirty Dutch like
16,16,  try fair try sauce tend pick one like like live life dangerously
17,17,  monster
18,18,  yes go dramatic way bye bus driver hahaha
19,19,  blind dude love dress
20,20,  think ball
21,21,  love glaswegian accent understand well
22,22,  mayonnaise base sauce Belgium empire sauce
23,23,  sauce good scottish opinion unbiased Edinburgh save tarnish reputation
24,24,  charleroi bad rep come poor dirty ugly know year effort try turn reputation make city nicer work think lot people willing chance nowadays case bad come reputation
25,25,  Nope octante quatre vingt
26,26,  worry confuse Hope find look
27,27,  Adam Smith invisible hand good thing
28,28,  Yep actually suicide hotline fan
29,29,  mean fry healthy place
30,30,  hungarian like paprika shocker restaurant snack place make fry paprika dip mayo time try actually good
31,31,  hey come find information visa find https www talentscotland com work work visa and immigration how do I work in scotland non eea https www talentscotland com work work visa and immigration how do I work in scotland non eea national possible visa apply student visa visa applicable suppose grandparent british citizenship mention https www scotland org study https www scotland org study info study scottish university rest hope find look good luck
32,32,  example reason instead jog foot French
33,33,  mess in PJ Harvey Thom Yorke visit Radiohead
34,34,  yes love germ turn dust album
35,35,  mini heart attack realise Luxembourg list Wonder
36,36,  know hate book bother read recently know come hormonal teenager probably react way want smack Dumbledore
37,37,  Yep bit like cult ish behaviour especially come country patriotic time flag world cup understand proud engraine brain day bear tell good country earth pledge allegiance bizarre
38,38,  good thing Scotland season day complain
39,39,  Damn Fred like
40,40,  Yep soon move Belgium lot flemish friend think shame speak flemish guy speak french hope change future think hate irl hateful people internet extremist politian
41,41,  good way start talk uni try steer subject away class know wanna talk class time Idk international uni try ask connect way try find similarity feel like conversation heading direction try tease bit friendly way goal friend try help find bizarre friend female friend maybe problem live know male female friend miss
42,42,  dude irish
43,43,  easy pronounce leave awful taste mouth
44,44,  dude travel lot phone urgent believe ignore like
45,45,  course totally normal mind let mind forefront let consume wait uni try wait year spark convo mind ask example try approach girl weird talk brush meet asshole talk friend ask advice
46,46,  hey mention law student try strike conversation girl start lecture contact hour start thing common law study flow try desperate pushy talk goal sleep foremost try friend try answer word show try hard talk friend ask honest opinion think well pleeeease stop obsess Believe important thing world believe date guru youtube good advice eventually date despair
47,47,  provide limited information actually work parent experience Cost life generally regard food clothe drastic increase alcohol accommodation average price m2 space limit know finance expect live apartment have car expensive check foreign ministry website wife need visa think skin colour effect worried procedure resident lengthy need lot paperwork pet think condo accept cat dog apartment see plenty depend landlord salary colleague approximate expect generally expect increase salary rent high tax rate low thing retirement plan need aside think normally future employer provide healthcare wife work detailed information suggest ask colleague possible employer know salary depend employer good luck
48,48,  mean hole road
49,49,  uncultured swine disrespect culture like
50,50,  ils croivent instead il croient
51,51,  illegal enforce guy decorate house sort Nazi symbol ask think took recently take year
52,52,  start clear extend deadline year ridiculously short time leave institution year take account indecisiveness Parliament reluctance EU grant deal make sure Good Friday agreement uphold certain extend time UK go leave think wo totally independent want think maybe end Norway type deal point know
53,53,  Waffles Waffles waffle waffle Everytime meet wanna eat waffle talk kind real taste ton chocolate fruit good waffle people Luik Lige waffle love god sooo well easier eat well kind waffle
54,54,  hate hit quintus furniture
55,55,  fry kebab open whichever stumble
56,56,  second grade teacher sound like amazing teacher yes thoughtful thing clever way kid read
57,57,  teacher sex son girlfriend
58,58,  look know well know well
59,59,  year school trip Northern Africa guy got arrest try buy drug police station end spending night day jail teacher release finish trip expel right come home pretty fun trip
60,60,  definitely friend sure
61,61,  France Luxembourg belgian tend stick
62,62,  yeah think fence want quit guess straw
63,63,  watch Derry Girls
64,64,  hear critique think garbage audience love mean people like matter
65,65,  try mindful diet avoid loud noise especially morning big change temperature expose cigarette smoke Try wake gently possible find brutal wake headache rest day
66,66,  mocha pot water boil steam pressure steam make water tube coffee pot milk burn milk try heat milk kettle
67,67,  NTA like effort friendship maybe lack communication try reach tell felt exclude good friend effort suggest find people align view friendship
68,68,  Imma multilingual country Luxembourg mainly consistency people speak minimum minimum people speak english portuguese
69,69,  ketchup song thing https youtu be AMT698ArSfQ
70,70,  dude swedish like opposite polish use vowel
71,71,  pretty sure dirty juste write sale
72,72,  ah yes movie
73,73,  advise KUL university Luxembourg young good KUL well rep Luxembourg expensive renting generally think well student life Leuven uni basing advice echo student live country set programme CHOOSE advice tear good luck Edit depend wish stay country study degree find job base answer change
74,74,  world
75,75,  vote make EU integrate maybe big country Yep actually idea integration strive united state europe
76,76,  Marc Dutroux yike hate say vile suggest learning die know grave spit
77,77,  definitely Benelux suggest English French Belgium speak french generally speak english speak english usually speak french NL away speak english LU whip english french speak speak
78,78,  XXX red white car different start think start polute car King separate license plate
79,79,  say agree view marriage finance rest
80,80,  people know work farm choose family business difficult advise choose region carefully tend farmer friendly ex town farm region join form sort coop supermarket resident shop directly farmer party intervention
81,81,  learn Ancient Greek latin class talk french class funnily yeah school tought basis detail specialize class
82,82,  totally agree Ramsey comment know watch couple video thing agree view finance marriage spot
83,83,  Place Vendme
84,84,  like beautiful square world pride joy
85,85,  Joe
86,86,  Je pense donc je suis descarte think
87,87,  obviously Portugal count
88,88,  cat famous Europe choose soulmate commonly accept law cat like marry mate life CAT WISHES
89,89,  hey maybe like kink shame
90,90,  return rate pretty good
91,91,  think Italy city depend preference Europe visit italian city
92,92,  nah bit rude people question intelligence get uni feel bad answer change answer polite possible people ask lie
93,93,  think typical weirdness comes adopt usual adult child relationship weirdness experience come stranger
94,94,  catholic school week like friend feel like lucky child world resentment come confirmation ton money gift
95,95,  like interested answer quickly text clearly suggest want say think afraid reject suggest ask plain simple agressive
96,96,  mean stop
97,97,  understand press think effort gift maybe future ask want come reasonable option talk price limit gift
98,98,  respect Aretha Franklin
99,99,  think guy discussion money marry engage willing divide finance financial burden come end month like huge problem worst marry think common cause divorce money disagreement
100,100,  wait marry genuine question guy combine money joint account pay meal treat put financial burden normal married couple forgive clich
101,101,  YTA ask want say airpod afford understand angry cheap pair break soon use good thing ask cheap alternative sister say afford reasoning basically nice wo nice
102,102,  Yep school learn king revolution primary school secondary school talk general european stuff pre history Middle Ages start th focus exclusively France Napoleon general european stuff cover WW1 WW2 Cold War financial crisis
103,103,  need course irish pronunciation
104,104,  french Ponytail queue de cheval horse tail Pigtails couette translation far know
105,105,  tell hold upwards put pressure stem
106,106,  Remus Romulus learn latin class far understand mythology mention true history creation Rome base exist person
107,107,  dismiss Belgium soon forget football world cup
108,108,  fair think kill need outside interference hate
109,109,  true soon flander notice difference different house different infrastructure different people bike
110,110,  thing move populous country Luxembourg live big city start communicate cow
