,Unnamed: 0,post
0,0,  nt flood hmu love new friend
1,1,  Jiraiya god damn anime
2,2,  relate doctor care admit unfortunately
3,3,  exactly imagine Stellaris campaign fanatic purifier
4,4,  true blue legend
5,5, 
6,6,  hey m Australia feel free hit
7,7,  cool
8,8,  nice tat fellow gcer
9,9,  remember order month went realise July Novembers initial spell Jason forget
10,10,  gon na lot work
11,11,  YouTube thing keep think stuff hate resort distract sad minute
12,12,  mash avo salt lemon juice spread toast shit amazing fight
13,13,  s real way tell girlfriend experience ve friendship female friend jealous partner shit suck m sorry situation nt make new friend lot good people
14,14,  live Wild West survive water week
15,15,  yeah bad habit love friend nt help solitary mode thinking hate m bad thing sun make feel like m go crazy
16,16,  rest sound interesting possibly hilarious talk water Haha
17,17,  worth try local game store good game Australia think usually run game Wednesday ve play like year barbarian fuck experience unfortunately
18,18,  oh worry mate good luck
19,19,  plan start game m australian nt lot experience interested schedule line
20,20,  wish ve apart
21,21,  Rosetta Stone electric boogaloo
22,22,  yeah plan turn let
23,23,  hey pretty cool feel free hmu
24,24,  think discuss probably well typical noooo love youuuu nt blame people react way
25,25,  hey play guitar minecraft
26,26,  throw inside guitar effective
27,27,  think friend let stranger iirc social anxiety good thing remember head think flaw half get way life enjoyment good therapist
28,28,  yeah
29,29,  m keen feel free hit
30,30,  actually pretty cute thing relationship find
31,31,  american agree white people pride come course nt right hate people heritage go regardless skin colour
32,32,  make smile
