,Unnamed: 0,post
0,0,  damn yes come
1,1,  yes
2,2, 
3,3,  amen
4,4,  yes
5,5,  funny
6,6,  happy birthday
7,7,  marry spot
8,8,  know stop go date focus realize need time slowly little bit people know whoever willing time know worth time effort think someday person come ll able got think happy m feel like
9,9,  yes wonder work know tired initial essencial effort require know
10,10,  feel like feel tired learn person like incompatibility tired time chance new person
11,11,  afraid s well hurt need happy day time support need
12,12,  big hug come right
13,13,  s kind cute thank guess right people comment like shoulder big specially guy like s big problem know deep girl think way guess make little insecure go normal girl
14,14,  s want
15,15,  sun Throw girl
16,16,  right big plus love girl
17,17,  s true thank
18,18,  yeah
19,19,  actually great mental health ve deal lot help clear mind nt find
20,20,  yes thank
21,21, 
22,22,  wow
23,23,  thank join
24,24,  s sad live world like
25,25,  probably Ill update
26,26,  s awesome good support
27,27,  Ill
28,28,  s useful Thank hug right
29,29,  m shy easy girl say look m interested
30,30,  m fluster
31,31,  Ahahah problem
32,32,  nt maybe suppose well body s find difficult
33,33,  thank
34,34,  like pretty cool
35,35, 
36,36,  thank good know
37,37,  thank
38,38,  find attractive yeah
39,39,  Ahahahah good know idea distract girl general
40,40, 
41,41,  dance complex thing believe dancer sexy kinda wish
42,42,  thing nt ask like grab thing furniture need help
43,43,  yeah s beautifuuuuul
44,44,  wow thank
45,45,  hot similar
46,46,  Ill train
47,47,  s actually goal
48,48,  wish thank
49,49,  like lot way lift
50,50,  true like way think
51,51,  Ahah relate
52,52,  girl hot
53,53,  s cute probably fluster oh wow thank
54,54,  s cool love appreciate kind body hey small girl thin body beautiful
55,55,  feel way nt know self conscious thank
56,56,  yeah s people tend bad thing like girl appreciate girl thank
57,57,  real ve kind insecure body acrobatic gymnastic year m love sport active work day m study personal trainer young weight big problem think m muscular girl like Idk want real opinion
58,58,  think Ill sure thank
59,59,  thank
60,60,  s big blister link well get little concerned hurt finger spot feel kinda numb forgot tell detail cook spill boiling water hand thank https imgur com a jnxivce
