,Unnamed: 0,post
0,0,  spoken brother
1,1,  mad lad
2,2,  exactly think
3,3,  r howtonotgiveafuck
4,4, 
5,5,  u xsword220 come rape sleep wake realize dream
6,6,  incel rise real question Chad extinct
7,7,  u forever condemn horrible act
8,8, 
9,9,  Hell end like
10,10,  Spaghetti
11,11,  correct video production model cnc machine general computer building tech support
12,12,  Intel AMD Nvidia
13,13,  crazy ve machine part missile military part military bomb plane etc nt part government military anymore nt live know work kill people matter person ve transition completely part hospital medical equipment help people pay bit bad make proud work
14,14,  Machinist
15,15,  m feel exact way
16,16,  m gay day nut time bitmoji nt imagine day bitmoji bitmoji look like Alex Jones nt find Alex Jones sexy nt resist curve Bitmoji form night think bitmoji wish real life wake day nuts boxer know nuts shot bitmoji ass cheek nt know continue like
17,17, 
18,18,  Impossible
19,19,  m
20,20,  oh turn table
21,21,  North Korea primarily use state control distribution Linux
22,22, 
23,23,  u think like
24,24,  say
25,25,  AirPods nt afford wire
26,26,  play demo
27,27,  nt say well
28,28,  big map
29,29, 
30,30,  well gaming well video edit good task
31,31,  internet collectively rejoice
32,32,  see series tutorial part minute refuse watch tutorial learn game
33,33, 
34,34,  s normal game lag
35,35,  cd version like pretty game
36,36,  i5 m wait zen
37,37,  Poland
38,38,  nh d15
39,39, 
40,40,  m m getting burn
41,41,  Map wrong show Ukraine own Crimea
42,42,  exactly happen
43,43,  superior korean engineering
44,44,  say ironically
45,45,  yes communist
46,46,  lmao
47,47,  consider epyc st gen core
48,48,  yes
49,49,  remove
50,50,  game work recently bad drm term find game try cs rin ru
51,51,  igggame kid nt
52,52, 
53,53,  yes computer ryzen rx get FPS p max setting game want p FPS Vega amds gtx novideo Edit esport game csgo able reach fps build run fast
54,54,  maximum setting
55,55,  understand key gen risky general philosophy like security software
56,56,  generally key gen security software bad idea suppose secure work
57,57,  game lag late game like leave run maybe eat play game hoi run background
58,58,  divide topic buy sale
59,59,  hour game m pretty good look guide meta learn experience interpretation
60,60,  play game hour know unpause hour game
61,61, 
62,62,  fix
63,63,  nt know nt use comment useless byte reddit server slow imperceptible comment serve waste precious second unfortunate subject reading
64,64,  probably overpower
65,65,  Noctua probably good air cool brand kind pricey NH U14S recommend find
66,66,  obviously people yes look opinion outside place yes worth
67,67,  hour m close launch
68,68,  Obligatory verify game file reinstall u say u u try turn
69,69,  Pakistan exist Burma
70,70,  R5 ve play India time update happen update pretty confident add update use new tag state India mod go fascist path civil war win happen
71,71, 
72,72,  sale yes research check dlcs look interesting
73,73,  nope
74,74,  Switch U K New Zealand
75,75,  probably
76,76,  play Uruguay difficult hour nt
77,77,  wait zen check rumor promise
78,78,  base game
79,79,  kbps kbps
80,80,  get rx gb perform well gb computer
81,81,  buy sale
82,82, 
83,83,  absolutely hour game maybe try Tibet annex Bhutan Nepal somewhat idea try play Iran USA play Mexico annex Central America country
84,84,  probably hour game nt know survive Lithuania
