,Unnamed: 0,post
0,0,  gon na shithouse win
1,1,  good predict
2,2,  emery literally try retrain Torreira
3,3,  tired shit fuck
4,4,  enjoy watch arsenal game think day
5,5,  fuck dear people
6,6,  FA pay money lose miss CL absolute disgrace
7,7,  good performance job maybe Chambers good People say poor performance try mess
8,8,  easy
9,9,  pep
10,10, 
11,11,  Mustafi hattrick incoming
12,12,  point midfield complete wank miss piece
13,13,  miss Ramsey Worst transfer decision Arsenal
14,14,  kind upset Arsenal beat Vitoria
15,15,  maybe r gun well place subreddit english football club play tier english football Arsenal FC
16,16,  r lostredditor
17,17,  matter tactic get outplayed team player good tactic help
18,18,  Arsenal Football club look game Sheffield united say penalty beating player good manager good wait transfer window place actually good
19,19,  Chris Wilder play Emery tactic Arsenal beat Arsenal astonishing
20,20,  barely strength play defence important game sense play like Liverpool instead play like Stoke
21,21,  problem libleftism
22,22,  memorable game Arsenal far
23,23,  mrr teata et HappsTV nd ametlik partner thendab rohkem raha vhem sitta
24,24,  upvote great club
25,25,  problem likely control folder protection need search computer allow civ protection civ change file
26,26,  money
27,27,  additional content menu disable enable mod DLC press disable enable happen aswell press disable enable unsubscribed mod additional content screen troubleshoot fix
28,28, 
29,29, 
30,30, 
31,31,  Staten island
32,32,  food try dad
33,33,  steam workshop
34,34,  comment equally randomized
35,35,  thank download update problem fix thank assistance
36,36,  unfortunately
37,37,  tried previously unticke
38,38,  mic HyperX cloud revolver S send sound hear headphone like disable
39,39,  certain member stream Twitch
40,40,  want rancher thing
41,41,  create map Worldbuilder like play friend
42,42,  ise olen pris rahul
43,43,  place fan mhu rahvusringhle mrr
44,44,  Mane end read
45,45,  real question play Arsenal
46,46,  Zulu Georgia Cree Maori
47,47,  u HugoKoks
48,48, 
49,49, 
50,50,  https form gle rxvbcdp9jh6mo7vp7 https form gle rxvbcdp9jh6mo7vp7
51,51,  Teisele inimesele vastate tlen et inimene ke ei saa aru kuida tal vedanud et Eestis sndinud ja elanud ei vrigi siin elada Eesti vga hea riik ja loomulikult sellel omad vead aga sitaauk ei ole
52,52, 
53,53, 
54,54,  difference donate force money away
55,55,  Doesn t want people people pay taxis gets call selfish
56,56, 
57,57,  able whine capitalism live socialist country
58,58,  Panama canal
