,Unnamed: 0,post
0,0,  great continue bless world wonderful foam technique
1,1,  depend spend difficult drink standard build Frappuccino polite person need regular buck good ask secret menu drink bunch drink buck ideal mind somewhat arbitrary system base store probably okay actually care
2,2,  happy drink customer polite tip time effort basically
3,3,  co worker go milk run yell Kroger employee got LOTTA OREOS HOME RAN MILK say word
4,4,  know talk rare occasion cry little bit physically cry stop feel start wonder cry place remember totally relate experience trauma
5,5,  know think ok boomer
6,6,  store get new oven catch fire twice take
7,7,  good deserve karma
8,8,  day possible outcome way catch traffic jam fatal accident
9,9,  break sad people wish anger issue able kind motivation life know grass greener man know life want
10,10,  start Erin thread feel like get overshadow lot
11,11,  Heya
12,12,  sign
13,13,  think social medium addiction instant gratification stimulation problem arise bit float aquatic craft dude
14,14,  social medium outlet influence behave daily basis
15,15,  ton people hole racist deal party fight good fight Siren smite Karens district
16,16,  helpful comment like want
17,17,  tenure partner awesome thank teach year worth new barista
18,18,  siren coffee hot kill scourge Karens
19,19,  depend tone
20,20,  miss day anymore huh
21,21,  live easy course app
22,22,  want people real People know love think great think awful people
23,23,  sure training trainee number priority work shift duty place need floor floor manager try trainer train position work trainee attention good start
24,24,  pumpkin spice great flavor
25,25,  irl weird text later group simple complementing happen ask future plan
26,26,  ataaaaaaaaack
27,27,  case dm let know sandwich thing little overkill cool person store close
28,28,  totally FCC Partner service experience usually legitimate problem report let anybody know word get look badly innocent neglecting rule
29,29,  manager immediately know cash count partner steal try play cool hand compile evidence
30,30,  interested democratic monarchy King croc opinion Healcare
31,31,  find event join people similar interest event probably fine talk
32,32,  imagine respond treat somebody care like treat Channel feeling realize well thing live
33,33,  oh heck
34,34,  doubt shift total butt well ahead time let try coverage sick unable work legitimate reason blame follow health code respect fellow partner customer shift store well notice advance plan accordingly learn somebody sick come shift shift jerk tough situation
35,35,  accord pic apparently
36,36,  starbuck life fucking nightmare John Mulaney fan thread
37,37,  look like properly assese
38,38,  time high up degree high dm visit store start walk counter interact DT customer rush people floor ask say oh partner like duck Starbucks cult hail almighty siren bless peak kill scourge Karens
39,39,  Splenda Equals stick syrup form disgusting crust anybody want petition
40,40,  month start juggle window speakerbox naturally wait second order receive payment switch rhythm thing take time dedication deeply interact customer way super introvert like win
41,41,  agree
42,42,  bro
43,43,  Au Ag Pt metal boring let electronegative element base reward go chlorine
44,44,  actually smile today thank
45,45,  oh internet skeleton secretly dead inside meme maker
46,46,  cry scary math food
47,47,  badass story get inspiration big truly live dream
48,48,  Thorsday god weekday contestant
49,49,  similar battle anxiety get job help portion stop care co worker think fun coworker good friend text day experience helpful battle worth fight
50,50,  college student friend friend home rock college People tell friend group feel like need people life comfortable feel strange people like normal people suffer anxiety feel weird place people feel weird advice make friend halfway semester appreciate
51,51,  know finish semester college get b mental health great know functional life suppose choose class semester apply loan suppose want thing life numb want stay room eat sleep think badly think People determination outta determination juice occasionally somewhat motivated believe literally life say
52,52,  Sew needle pull thread
53,53,  Break NEnter thief emporium
54,54,  Santa way fricke late man handwriting bad
55,55,  heart melt
