,Unnamed: 0,post
0,0,  Siberia
1,1,  literally spit drink laugh
2,2,  life Knew collection
3,3,  thank TA semester grad school General Psychology campus position online component Blackboard paper quiz charge normally add cover letter experience feel like long ago help second Master degree online opportunity TA phd online work time pay job offer online TA position definitely interested
4,4,  sure right place post come brick wall come find adjunct job look remote position Bachelor Science Psychology Master Arts Mental Health Counseling Certification School Counseling Master Education Higher Education start journey phd November st work online atmosphere year teach help teach General Psychology course Master program long time ago academic advisor access plethora learning platform student online advice get field apply adjunct psychology position response yes feel strong cover letter resume experience require experience x200B thank advance
5,5,  haunt Ground believe PS2 hard find game give nightmare
6,6,  Ahhhh fail
7,7,  Beer bad tree pretty time favorite
8,8,  congrat look great totally relate diminish tolerance alcohol vodka soda lime pretty zero carb able pound thing miss beer
9,9,  mouth water read Haha LOVE chili keto possible try keto cornbread attempt difficult husband hate pretend type food keep sane keto struggle thing miss cereal weird eat non keto Almonds coconut flake bake add dark chocolate chip add almond milk voila
10,10,  thank
11,11,  amazing
12,12,  wish distribute awesome beer near search time new post option Michelob Lite beer point Hopefully keto movement big grow distributor nationwide wise jump bandwagon
13,13,  right keto October March strict cheat Thanksgiving Christmas lose job fall wagon super hard gain lbs March August get new job excite track fast forward October get groove multiple cheat day help candy fiasco straw super vigilant finally feel like ok place moral story fall wagon Haha Mo
14,14,  great wish happy story like happy end get candy desk mid October get test try keto long hiatus fail day October HORRIBLE day work binge half bowl sweet sugary thing like Skittles Twizzlers Starburst miss sweet hard core upset day decide anymore decision keto bust choose keto fill bowl morning student touch survive trick treat night
15,15,  hope helpful
16,16,  hi start phd November st help look people start today thank
17,17,  inspect daughter yo candy haul night find Jesus love pamphlet bracelet akin crown thorn ask remember get hopefully hateful disgusting speech make sick
18,18,  great job feel validate today great feeling take almond trick treat time get urge eat instead
19,19,  think quote history bind repeat learn historical benefactor psychology wo understand psychology today mistake find fascinating learn history psychology field start progress today
20,20,  creative love use dip
21,21,  survive Halloween Trick treat year old get favorite Grand Milky way Reese easy wo hurt smart take almond munch time got crave super proud Halloween success story
22,22,  Sparrow Children God Mary Doria Russell forever recommend series wo regret
23,23,  able find new Halloween special Tri Force LOVE
24,24,  yeah think big obstacle husband step daughter year old love big breakfast weekend normally need figure time well maybe work
25,25,  LOT black coffee tea water freeze office hot drink good friend thank
26,26,  currently keto October March lose job lose motivation gain lbs summer start strict keto October st year maybe body get fast bit easy thank
27,27,  Sparrow Children God Mary Doria Russell
28,28,  probably start week know know time like present spend lot money lunch week Mondays pre strict keto time post
29,29,  sorry miss comment hour think try feel like breakfast dinner style lunch dinner difficult work office people bring food go lunch normally work home actually think make sense wo know try Thank tip
30,30,  look great try bandwagon struggle morning try eat dinner pm find starving be trouble tip past hump thank
31,31,  old s Motel Hell
32,32,  hiddensee
33,33,  Child Owl Lawrence Yep
34,34,  duckman
35,35,  Mavis Beacon
36,36,  thank tip fan scale keto thing pay attention say weigh important prior reddit user learn lot new thing short time overwhelm think order tape measure try way
37,37,  bah sorry Thought
38,38,  Ooh Super Smart Science Series Author April Chloe Terraza
39,39,  highlight magazine doctor dentist office
40,40,  thank tip start keto October weigh week wednesday morning bed understand fluctuation work think time little hopeful quickly time lose week thinking time
41,41,  Irvin Yalom lot book similar Oliver Sacks collection
42,42,  amazing story remember look eat eat sitting tv video game stuff face chip cookie etc year old house hard resist treat ha moment think great moment give goal step feel overwhelmed far scale number promise wo disappoint
43,43,  guess big challenge realize wo easy time lose get point feel well health wise sure wo thank reply
44,44,  completely agree statement feel like recover alcoholic go binge
45,45,  plan stay keto depression life long make hard especially big thing happen I e lose job think ok cheat day realize helpful weight loss mental health diet general Thank reply
46,46,  recall episode exactly Netflix series Creeper different concept episode start end Creeper collect story
47,47,  lose lbs October March strict keto entire time log CarbManager net carb day suggest macro time plus exercise day week yoga treadmill kettle bell feel amazing goal ready go second goal hit plateau lose lose job home summer March August come depression like fall wagon hard motivation exercise eat right eat pizza drank beer go lbs new clothe long fit lived legging baggy t shirt refuse buy fat clothe weight tend return stomach area finally get new job August decide time health life track gym office pack lunch know day keep make excuse month later start strict keto October st CarbManager suggest net carb day diet struggle feel like jump easily motivation exercise deal migraine tiredness sugar withdrawal weigh Saturday morning oct excited weigh morning oct heart fall guess wrong time sure trouble get keto fall wagon x200b TL DR get wagon get result
48,48,  think episode Angel Buffy premise
49,49,  meatloaf use egg Parmesan cheese bind use mustard bunch random spice recently add bacon
50,50,  sound similar House October build
51,51,  eurotrip
52,52,  Grey Zone
53,53,  Superwhy sure live action
54,54,  Bully
55,55,  precious
56,56,  Man High Castle pretty Philip K Dick
57,57,  Jimmy Neutron Ben10 Garage Kids
58,58,  People old job play marble game marble time ask marble pay official similar
59,59,  sound like Haunting Ground believe PS exclusive main character girl
60,60,  Sparrow Children God Mary Doria Russell
61,61,  Boogie Eminem Rainy Days
62,62,  anatomy german https en wikipedia org wiki german language Anatomie
63,63,  Final
64,64,  Bernstein Bears Stage fright
65,65,  Sheriff Satellite Kid
66,66,  Mary Doria Russell Sparrow Children God
67,67,  cat scratch a hole cat recently get bad bout poison ivy wrist ankle new tattoo wo fix
