,Unnamed: 0,post
0,0,  uneducated question grow conservative af parent speak Muslims thing mention quaran teach muslim kill nonbeliever similar thing true thing bible technically say nt eat kind sea food certain clothe stuff nt practice long parent dumb mean anyway want ask nt want offend
1,1,  nt baby bedroom share room easy baby close anyway adoption process share room simple solution feel like entirely different reason thinking way
2,2,  government continue tax woman man continue inequality
3,3,  geeky knick knack thing house maybe stuff car get husband spiderman car coaster birthday bit ago
4,4,  think kid friendly consider go want leave baby night weekend plan
5,5,  berry burst ton weird little pod thing
6,6, 
7,7,  wow fast thank
8,8,  probably sister favorite accessory knock sunglass husband probably like currently wear eclipse pair entirely black forget office end walk day head
9,9, 
10,10,  especially beard look great
11,11,  monster man little talk
12,12,  civil war fall
13,13,  sure picture good dog nt group photo sure photo nt look like relationship picture picture filter sure picture filter try include picture dolled Try include picture enjoy pet like joke kinda risk sure profile easy respond message joke favorite movie book etc message play of easy think response likely message
14,14,  come Writing help improve write immensely
15,15,  let chick sure stick thing find help shape social interaction simple Ask question bet love talk life plus feel like care show general considerate interested Monday ask weekend think weekend share ask plenty follow question slowly build conversation
16,16,  nt sure good title basically move apartment couple month husband newborn daughter have young sister high school nt work credit history disability prevent able work graduate high school anyways exchange living take care daughter work safe living arrangement work issue apartment building want application understand worried have application affect ability accept credit score average credit history low payment time nt bad report previous landlord able vouche need time payment little iffy percent accept regardless sister handle worried wo nt accept
17,17,  say happen mean say potentially problem ignore advice give counselor wonder good idea relationship
18,18,  nt mood say help mood e g help relax happy comfortable life general horny instance try help relax dish night ask sex time head think wow think dish get sex nope eventually give ask sex mean stop dish reinforce head wow think dish get sex way relationship sex work healthy relationship right
19,19,  s try help mood stop ask gon na short ask issue fix gon na time
20,20,  think nt therapy say came need nicer agree problem nt entirely successful come therapy need nice time truth sound like concern come therapy wife perspective ignore nt think wrong want sex partner nice partner nice fo partner lucky later night exact definition ulterior motive
21,21,  kind thing happen say nice thing question nice like day night try come sustain behavior long period time long s nice s time head nt dread go bed night have reject kind anxiety head counteract nice action relax think try put sex mind couple week entirely focus emotional aspect relationship time sure go strong making believe ulterior motive revisit sex
22,22,  practice make female friend online ll help realize nt different especially chat know fall apart little willing sucky part omegle way internet friend kik chat group know bad rep get ta willing dig weed way chat woman online non romantic way help comfortable
23,23,  Night Circus maybe
24,24,  want kodaline
25,25,  Night Circus
26,26,  Background struggle social anxiety long remember significant progress especially past year basically baby month ago relapse bit rough patch horrible timing post birth clothe fit idea size pant fit anymore shop torturous literally nt hate go feel squish having try stuff find right size go forth fitting room till different dang brand hate take space feeling like bug worker everyone way hard bring baby today husband drive way mall got see store window nt husband let stop car turn right go home work week need clothe help advice shopping trip
27,27,  exactly gon na
28,28,  Solved solve solve Thank youuuuu
29,29,  remember dad read pretty young reading early believe book old book family believe farmer kid think guy nt like thing like mess crop throw bad seed believe kid work parent farm work memorable thing farmer kid like johnny bella Ann Gregory bob totally name idea actually read allow definite flow
30,30,  oh Wonder
31,31,  House leave
32,32,  live castle
33,33,  House Leaves story sad
34,34,  end world know feel fine rem probably worth try
35,35,  Alt J
36,36,  feel like girl power moment Marvel try short cut away terrible female presence movie like oh hey nt forget guy cookie okay bye moment feel insult dismissive
37,37,  Dan Vs maybe
38,38,  Zombie Cranberries cover Bad Wolves maybe
39,39,  Hollywood Undead angry listen music Kill everybody Undead etc
40,40,  find song perfectly fun upbeat unique perfect close nt reccomend ton music time period time period enjoy music time period anyways come Eileen speciman song age
41,41,  Night Circus
42,42,  Oooh good
43,43,  Carrie Girl Loved Tom Gordon shorter nice little taste recommend start shine cell
44,44,  Night Circus give fall vibe Girl Loved Tom Gordon Stephen king fall vibe
45,45,  House Leaves take little bit engross get great
46,46,  old dude tell kill son book colonization area different perspective
47,47,  sure relevant human mind etc nt remember great read heart darkness thing fall apart Chinua achebe probably spell wrong show different perspective basically topic open eye
48,48,  Artemis Fowl Eoin Colfer
49,49,  oh Wonder good check drive
50,50, 
51,51,  SOLVED SOLVED SOLVED thank u book creepy
52,52,  come
53,53,  cell stephen king
54,54,  great suggestion husband use app call tinybean share picture video milestone etc like lot control access nt
55,55,  yup exact grow store restaurant nt connect get ta whip gps lot time
56,56,  exactly terrible spatial reasoning general good concerned strength husband great
57,57,  girl Loved Tom Gordan shorter far psychological cell shorter long shine easy psychologically base cell like girl love tom Gordon
58,58,  remember read children book little reading early early believe illustration black white drawing like style story little kid kidnap like run away end like capture witch wood think witch plan eat kid house thing inside house help kid escape pretty sure point kid use bone convince witch super skinny think dog give kid advice thing remember distinctly fact old fashioned bathtub claw foot style child clean believe feel like talk kid run away kid kid finally escape entirely end storybook idea
59,59,  grey sexual bit controversial
60,60,  say true saying nt happen foster system bad scenario currently true
61,61,  kid young concern highly doubt kid permanent custody track anyways judge entire system personal experience look client past year experience nt great highly well experience child endure home life right sorry personally bad experience system shame experience bad experience nt mean child remain neglectful home fact take age account show nt know hope personal experience teach
62,62,  foster care case manager kid fact seriously neglect
63,63,  base description pretty sure kid well system anyway young d easy place come
64,64,  hey like title say pregnancy hard hit week yesterday appointment schedule go tell blood pressure high send hospital take ton blood stuff end blood pressure get high time check get severe blood urine test come fine send home stress having pay hospital bill instead fact get high lower bad care ask baby care okay healthy little know baby super important stuff know end send home okay wish contact mom terrible fuss worried telling want concerned health stop ask baby ask want kind worried tell okay take far fact love want okay kind overbearing love concern end day nice
65,65,  wayside story series maybe wayside school get little strange book
66,66,  Thirteen thirtyfive Dillon probably
67,67,  maybe nt match time set
68,68,  Hush hush Becca Fitzpatrick get ta love series
69,69,  feel nervous ahead tell super understand great walking go go happen go pace
70,70,  Edit YTA bot
71,71,  sound little similar Carl Shameless u S probably
72,72,  Drive Oh Wonder
73,73,  probably Jolene
74,74,  probably fuck Shane dawson Haha
75,75,  Lasagna actually
76,76,  gon na grind NAH foster care case manager county break TON rule picture kiddo post ton privacy thing guy interested post picture long possible rule lot people tend overlook exit good reason kiddo end reunite bio fam actually lot difficult foster parent parent realize nt go display picture kiddo trigger emotionally thing difficult picture people want display option pic kiddo way kiddo include simultaneously kid end reunite nt mysterious kid picture year post kiddo nt reunite picture kiddo
77,77,  ESH mainly fight primary custody kid care mom unable provide punish kid
78,78,  husband deal issue like mind pm question fix
79,79,  sure Brookeville shelter bookable option
80,80,  literally feel exact way time go female help figure stuff cry department store bathroom try find piece heaven
81,81,  SOLVED THANK
82,82,  little monster
83,83,  repost messed title format watch movie early early kid family movie movie nt remember lot monster civilization live beneath human society monster society travel human world mess steal singular sock mess pair human society teen girl main character monster society call smellovision young boy monster nt like messy steal human s kind look hide day think dad take human society get hazy pretty sure teen girl meet end come monster society hide nt believe girl animate live action nt remember monster bother year
84,84,  add good admittance essay struggle fine
85,85,  Larosas pizza maybe
