,Unnamed: 0,post
0,0,  somthe work friend say work year fail find therpist look picture read bio feel appearance look thier bio thing like word choice easier choose correlation see good therapist insurance tend competitive rate Useing thing help narrow pretty quick find good therapist GA USA I vealway live mind
1,1,  bola create Amonkhet god
2,2,  def expert ask medicate Ex hypersomnia sleep hour day sleep hour bad mental health day change answer give
3,3,  drug
4,4,  alot company finally figure well employee happy
5,5,  wife world raider wow pretty cool
6,6,  love card way well arcane denial
7,7,  Control beat combo Combo beat stax stax beat control close rule tumb cedh imo
8,8,  truefact
9,9,  black ritual effect
10,10,  believe probably stem existential dread boat op
11,11,  post
12,12,  def annoying drug people talk like drug def fun life need revolve m guess people thi late teen early s
13,13,  follow like house
14,14,  op upset interact people
15,15,  little context depression diagnose severe atypical depression generalize anxiety slew trauma year ago try kill gradually learn care mental heath healthy way find solid combination drug work today notice day dreaming achieve financially stable future actully excited want share PS dark place know worth fight depression get fam
16,16,  get second print run month right
17,17,  professional chef hugely male dominate field
18,18,  sudden spoil card nut
19,19,  huge movement late s early s change catch agree swap mile kilometer gallon liter fuck alot people brain
20,20,  mikaue unhallow love shenanigan Kver past year go go control combo zombie tribal flexable fun reanimator card
21,21,  experience stax chaos way hate
22,22,  Godamn good story
23,23,  attempt life
24,24,  grand abolisher hushwe gryff tithe taker kataki war wage sanctum prelate remorseful cleric runic armasaur
25,25,  Spirit labyrinth ashiok narset s get head
26,26,  fuckin diabolical
27,27,  honestly think sociological thing mental health thing insane reason cool work school
28,28,  Awww shit want update slutty confession
29,29,  damn fap material
30,30,  damn girl hope get polio vaccine cause wo able walk
31,31,  fuck know hard
32,32,  spit beer fuckin great
33,33,  literally exact thought
34,34,  k fav moment card wife turn equip inmoth nexus proceed shot yes mill card
35,35,  want checkout rnsfw411
36,36,  damn perfect nipple
37,37,  Male probably cry happy buy slipper return feel like garbage
38,38,  rd grade stole zapdo card
39,39,  Mikaeus unhallow deck fun
40,40,  def alarming
41,41,  sure troll
42,42,  F
43,43,  year ago high school working project girl minor crush Anyways super focused think making outline molecule get close second say wear contact I no her colored one I nope get close second sat smile say wow beautiful eye ugly guy high school thing go alot muscle year occasionally get like oohh strong time non relative complemented eye make feel good yeah pretty starve handsome cute strong TLDR year ago high school crush tell beautiful eye make happy
44,44,  worry flonase kind saline type nose spray day allergy non issue reason got start sleep apniea unbelievable well
45,45,  recommend thing like look great trust thing like rub chest literally believe wife order touch like want mmmhh number ridiculously sexy thing woman probably good mood embarrass point think messing work follow later day Edit typo
46,46,  legit probably think crush need somthe
47,47,  year ago high school working project girl minor crush Anyways super focused think making outline molecule get close second say wear contact I no her colored one I nope get close second sat smile say wow beautiful eye ugly guy high school thing go alot muscle year occasionally get like oohh strong time non relative complemented eye make feel good yeah pretty starve handsome cute strong TLDR year ago high school crush tell beautiful eye make happy
48,48,  def people hole accurate like damn
49,49,  yeah like ii think passionate hobby passion shame angrily describe bitch thing wrong hobby get sexual thing ex Tifa hot fuck night alarming think show sense shame self control tend scumbag
50,50,  yeah post tell type dude type talking try fail use pity mean manipulation getting lay SUPER SALTY Murdery rapey work nice deserve way talk generally objectify
51,51,  feel like virgin rage hormo thing yeah WAYYY bad HS
52,52,  kinda fuck threaten dude pretend BF bar mall reason early harass hell female friend extreme case stranger
53,53,  learn friend male female actually surprise imagine common people think stigma make creepy ass dude talk
54,54,  yeah plus literally read terrible date cringe super hard feel like fine sucker punch face alot issue
55,55,  inside nose reconstruct surprisingly cheap long cosmetic pretty affordable Helped wonder th final time nose break
56,56,  creepy annoying constantly talk good guy
57,57,  advice treat like want good friend lover change part friend idea try therapy issue stop actively try woman like try thing love people like love thing love find healthy relationship TLDR Treat like good friend happy fuck
58,58,  yeah increase lexapro hard reach peak wife satisfy helpful tip find study lexpro decrease salt body moore common young make dehydrate easy try drink zero cal sport drink day feel alot well gatoraid
59,59,  comment point like mention make sure sexually compatible
60,60,  have sex completely erect penis actually pretty dangerous high chance breaking dick chance far increase move Edit typo
61,61,  eispcally like big oh final form
62,62,  probably unfold type
63,63,  oh dumb mean scour existence perilous vault Karn liberated ulamog maine mono black deck year card good deck want swing alot personally think lack luster
64,64,  Return Dust Meteor Golem way well choice oh Steel Hellkite
65,65,  help depression real
66,66,  duty modern warfare Holy shit character act
67,67, 
68,68,  recommend listen podcast laboratory maniacs guy problem play tournament EDH collusion people pod know powerful deck case go win pod go recommendation split prize way prize place prize interesting deck preferably interesting deck slightly large prize person pod vote deck think coolest round vote win prize solution tie interesting deck https youtu be ffh13xlfovo
69,69,  agree think need draw engine probably green enchant turn thing basic forest
70,70,  man borderless make realize great art nice job
71,71,  Derevi Empyrial Tactician tempo toolbox deck answer basically slowly punch death run winter orb like man fun deck
72,72,  kill new blue walker love bola
73,73,  appt month sure bring
74,74,  yeah suicidal self harm thought meh wife want help understand depression figure ask y Ty advice
75,75,  Hmm jump mind try think somthing try stuff like want guess pass time
76,76,  bit context severe depression anxiety adhd mild ptsd medicate married good relationship normally play video game friend wife night play Mtg magic gathering day lately fun interesting pretty work eat sleep try alot idea sex meh sure break cycle advice
77,77,  lose licence shit
