,Unnamed: 0,post
0,0, 
1,1,  Insane
2,2,  probably warm
3,3,  usualy think spanish sad think german
4,4,  long memory
5,5, 
6,6,  try yo develop ar app find Office look try yo mapbox understabd ir work help advice
7,7, 
8,8, 
9,9,  hope live peasefull live love nt
10,10,  like hast theyr future figure nt know happen
11,11,  militarization Mexico way government cancel culture science relate
12,12,  Blue Marina
13,13,  thank look summer vacation
14,14,  learn use zbrush ve tie find kind confusse
15,15,  finish proyect semester
16,16,  People shoud able theyr decision way shoud hold responsible conceuence
17,17,  think woud evidence like searchhistory place visit people talk whit misscarige think nt prove way
18,18,  dark place year ve BF s rally pacient try come offent let know s
19,19,  espero que pueda aceptarte y respetarte por quien ere sin embargo lo del racismo y clasicismo es algo muy comn en Mxico y entiendo por que tiene sentido
20,20,  m animation student learn bit program want learn self woud like learn specificaly c
21,21,  gay friend say find vagina disgusting kind strange mayby s
22,22,  NAH Jobs shoudnt influence tipe thing ask fot requierment kinde inequality problem worse
23,23,  show explicit
24,24,  kind similar situation week ago upstairs department rental nt know people live spoken owner time argument nt buissne ignore night start hear screeme people run tought kid play suddenly door begin slam thing beee trown room woman begin screme leave kid ore like child start cry call cop nt answer call left report arrive minute nt stop scream music near drew attention stop later tell owner say problem
25,25,  like begin end sound kind yandere maybe voice kill emily control like don t know
26,26,  parent rule little coudn t reach spider alowe live wache spider house se trespass imaginary line tell afraid house parend kind get tired teling kill spider offten
27,27,  hi nice meet way you re go well english practice help People shoudn t fun foreigner write learnd new shoudn t ashamed
28,28,  want animal posible shoud obvious taht kind financial stability abel care
29,29,  NAH bpyfriend dosnt like trim help eventough scary gradualy get coud think gross nt think time
30,30,  ESH treathe like life shoud noticed shoud speek parent try solve situation
31,31,  NTA think genuin interess learnimg shoudnt considerd bad maybe nt talk openly
32,32,  NTA want children aproval consider rule woud propose diferently coud go speek child
33,33,  thank write english
34,34,  coud like theyr life theyr child m soure happend maybe considerd buy nt want trough
35,35,  know video say confusse post nt go vaccinate child
36,36,  belive country campaign free vaccine pet nt excuse
37,37,  hear vaccine coud pet kind bad reaction nt hear case thank share
38,38,  think routine fear gon na long person time pass gon na realize good bout
39,39,  think seake atenttion muy schoolmate troble home parent blow theyr frustation theyr childern child carry responsability nt realy know
40,40,  s say think like try yo feel bad soud understand meed time
41,41,  anti vaxxer vax pet
42,42,  tragus pierce way headphone I ve think get y don t know hurt it s going affect life
43,43,  tell like Kind explore
