,Unnamed: 0,post
0,0,  Count
1,1,  Baby step get
2,2,  m glad nt able bring cycle yeah guess m well lol
3,3,  ve come walk dog sitting finish blanket m make funny mention write new blank leather booklet work bag tonight guess attempt start make change well
4,4,  bpd scream head loud moment barley drown m try hard respect boundary need heal ve moron past ve selfish mean ve kind understand love nt hard love want healthy
5,5,  bpd scream head loud moment barley drown m try hard respect boundary need heal ve moron past ve selfish mean ve kind understand love nt hard love want healthy
6,6,  binge eat find difficult control time try binge healthy snack m sucker chip eat protein help bay eat late night help try eat late difficult work hour
7,7,  m mg dose abilify edge anger mood swing depression helped find m lot stable effect like gain bit weight control go gym small muscle twitch annoy feel work
8,8,  like time thank responded nt expect word encouragement warmth concern compassion truly overwhelmed therapist idea think help m ordinary girl try day word stay thank helping cope
9,9,  thank take time mean lot especially come responder thank
10,10,  thank
11,11,  die Friday hit car second step bus gentleman see morning walking street go work run help compression fire department ambulance get hope know god rest soul
12,12,  hey thank response ve medication short period time diagnose chronic depression social general anxiety ve suicide attempt year ago hospitalize year ago tell Abilify edge extreme anger aggression feel warned effect like potential diabete weight gain blood test week far think feel anger think clearly maybe m analyze nt feel hungry therapy week think Abilify quick fix ve recently come term BPD diagnosis Honestly class medication make anxious right think seek second opinion
13,13,  oh m sorry hear Ill careful thank input
14,14,  Abilify feel work BPD m curious start medication m sure expect
15,15,  happy birthday
