,Unnamed: 0,post
0,0,  thank music suggestion love people suggestion ill definitely listen
1,1,  nt listen rap enjoy jaden smith rich brian joyner luca shake brockhampton amin
2,2,  nt waste august distant triathalon
3,3, 
4,4, 
5,5,  grind
6,6,  accident m guess
7,7, 
8,8,  like head
9,9, 
10,10,  danny devito
11,11,  turquoise brown
12,12,  let hey jude beatle juicy doja cat
13,13,  literally r b definitely listen h e r august
14,14, 
15,15,  uncle
16,16,  get metal ramp drop foot
17,17,  taki
18,18,  water orange juice caprisun
19,19,  Adele Exarchopoulos Brigette Lundy Paine
20,20,  Dog nail cutter
21,21,  dick
22,22,  hey f let talk d
23,23,  nt synesthesia
24,24,  cbd nt high thc
25,25,  pretty good man
26,26,  water
27,27,  hey m F want talk hmu d
28,28,  gt nessluda Discord euphoriasea
29,29,  safe quiet
30,30, 
31,31,  remove
32,32,  add ohheyitsgizelle ill add
33,33,  shrimp soup cause throw bunch look
34,34, 
35,35,  friend fun try new thing
36,36, 
37,37,  la cucaracha
38,38,  head start hurt
39,39, 
40,40, 
41,41, 
42,42,  earth
43,43,  minecraft hunger game
44,44,  like show movie tv
45,45,  pomegranate
46,46,  black
47,47,  tommorrow
48,48,  twitter
49,49,  waffle fry
50,50,  travel world
51,51, 
52,52,  minecraft
53,53,  mom clean house dad run bakery
54,54,  guy react tell transgender woman
55,55,  yes nt
56,56,  stop hump red blanket
57,57,  nice comforter cozy pillow usually read chapter book light sleep night
58,58,  smile
59,59,  classmate actually cancer
60,60,  Florida relax hangout friend
61,61,  square
62,62,  spoon
63,63,  lasagna
64,64,  saturn devouring son image https image app goo gl bEVduhw5HQXaUtBu8
65,65,  cry room night
66,66,  ye
67,67, 
68,68,  August
69,69,  dasani water bottle
70,70,  Electric Chair
71,71,  movie see trailer scared shitless actually throw start cry year rewatche nt know scared
72,72,  m go play sword art online
73,73,  watch Ryan Higas parody kpop group decide check kpop song start like
74,74,  tennis team reject
75,75,  scar head child dancing car hit head metal piece move car seat forth
76,76, 
