,Unnamed: 0,post
0,0,  s wording currently
1,1,  Jailor mafioso claim Jailor D1 fight ton Janitor clean Jailor N1 maf claim me say important town role Maf lucky RT TS nt red real med
2,2,  role list confirm like escort consort minus sheriff inv result
3,3,  open gift daily xp send gift
4,4,  miscast Alaska southern curvy charming portion nt see book thing sex appeal particularly body type
5,5,  go assume video informative nature regard arm sale x200B identify argument find draw video tell story story Break story AC contention Inherency plan solvency frame contention figure argument comprise find card argument figure argument miss fill look like typical aff novice AC block modify sense aff
6,6,  warm usual routine AC Typical NC slowly speed average speed
7,7,  like concept think factor miss one catch religion raise sexual orientation location
8,8,  Awwww okay love room learn game harsh Jsyk psychic meh hard fake think LO tracker crusader worst lynch reveal couple confirm evil vision
9,9,  remove
10,10,  I interested
11,11,  edit throwing thought Diction Strangles https politic theonion com gop lawmaker watch silently trump strangle of emphasis trump suck Diction wait approach refer actual politic onion emulate real political website Metaphor extend strangle love one death irony thing president role protect citizen Hyperbole ometime bit outside ordinary Diction ommander chief asphyxiate Allusion barbed wire likely wall barrier sort
12,12,  Oof wonder course program
13,13,  shmilylin1 oh chance summer homework essay book
14,14,  take AP spanish think majority class understand AP test want new long decent idea conjugation know vocab good practice test native speaker teacher review
15,15,  AP student homie bit academic integrity
16,16,  palmer great recommend give read like hour AP test great brief overview need know fluff fill Euro textbook
17,17,  Yooo teacher summer hw obviously loop Shoutout stay school teacher hour go home working hour fr teacher well
18,18,  helped write umich aff Hmu
19,19,  AP light class focus heavily essay test try ease question format AP test currently try develop good writing strategy quick concise efficient Idk good idea
20,20,  purposely problem hard take time thinking figure crazy lucky
21,21,  F
22,22,  look wrong place love People high school age
23,23,  alter cause paste format remove potential place website datum look like tag verbatim
24,24,  mind teacher say pretty long key idea represent test
25,25,  actually kinda asinine think way stem leaf x200B look stem usually indicate large digit value leave place directly stem create datum point Commas afterward separate number usually look rough shape set datum come aside familiarise visualise datum unit
26,26,  good luck bro
27,27,  open gift daily try well send gift high friendship level friend basically free xp farm anybody interested
28,28,  okay person open gift near pokestop far away
29,29,  complete sure matter age
30,30,  mean technically comparative AP class easy one term concept majority extremely cautious explanation class allow creative freedom like way correct way fuck
31,31,  probably explain get outlier identify AP test accept variety answer reason long explain thought process equation actual word
32,32,  psych bad read textbook twice recommend take note some majority common sense previous knowledge AP class
33,33,  lol work class thank god passionate teacher x200B start normal curve unit half class teacher draw bad bell curve yell
34,34,  remove
35,35,  Tabroom friend Octofinals result Quarters end
36,36,  stutter badly nerve tbh get fast zero read
37,37, 
38,38,  trick
39,39,  start read sim sim nt find particularly helpful debate help read K light start upper level book nt think book good debate fun interesting
40,40,  dermis look like styrofoam
41,41,  congrat
42,42,  day grace good shit
43,43,  like majority
44,44,  like dialogue ve see anime ll ruin mystery know character hell lot well
45,45,  note mich Dm email use throwaway nt wanna share irl name
46,46,  cheer
47,47,  Fair Sorry idk quest line evolve Dratini
48,48,  nt know quest prior evolve Dratini give Dratini evolve necessary gym raid
49,49,  Lol need finish special research
50,50,  base ahoge kibo
51,51,  entirely effect t effect plan lead net decrease immigration plan meet reduce restriction legal immigration team focus research visa immigration immigration system
52,52,  currently aff slightly obscure revolve specific type arm restrict typically access soft left impact look Umich Mexico small arm aff example recommend card lack specificity
53,53,  yeah s satanic shit
54,54, 
55,55,  Shane Dawsons jefree star clip
56,56,  pretty bad learn proper impact calc work get good framing know aff team suffer read hard right impact vs hard right aff
57,57,  real hydrohomie
58,58,  depend work breathe normal spread min speech overenunciation speech Normal spread m speech backwards drill cross eyed
59,59,  different account benefit reap help raid
60,60,  Rip Guess nt problem dad request cam different country
61,61,  security cam keep fall recommend
62,62,  lol lab debate camp help everybody extent want helped remember lab day people dorm start preppe like immediately lab necessarily reflection people work
63,63,  inspire help non ED people understand eat disorder bit Hollywood like trick camera angle everybody SKINNY god like thinspo
64,64,  w t e r
65,65, 
66,66,  icy hot friend
67,67,  friend hypoglycaemia skip meal keep energy gel runner s feeling woozy nt see skip meal depend deal maybe consider
68,68,  start short fast threshold start push recommend look technique moment feel unwell
69,69,  PTSD forget small bit info trauma manifest world confusing flashback
70,70,  makeup gain proud
71,71,  thigh gap babyyyyyy look good
72,72,  start have crippling flashback public flashback generally involve unresponsive fetal position hyperventilate Friends confirm know condition call ambulance x200B consider medical ID bracelet list condition symptom request people ambo write
73,73,  Google campname year google site
74,74,  ve get fat nt enjoyable
75,75,  remove
76,76,  starter pack camp recommend hour look format start cut card asap good ll help familiarize topic t card well analyze structure re research easy start
77,77,  anemia
78,78,  Bro nt matter ptsd empathise matter fight nt feel like ur experience less
79,79,  adrenaline powerful shit
80,80,  F
81,81,  Clothing Casts resort
82,82,  SUBTELY discourage Ed related behaviour line wanna finish crisp
83,83,  big mood
84,84,  Neosporin help prevent potential worsening clothing cover high quality foundation well
85,85,  blood sugar maybe ease aspartame bit trigger system think real sugar lead fake processing cal
