,post
0," I didnt drop out, but took some time off after a suicide attempt landed me in the hospital. Taking that time was really helpful and allowed me to return a better student, although at the time it was a really difficult decision.  "
1," Definitely doable, just be prepared for lots of mosquitoes  "
2, You definitely should!  
3," Wow I love this, do you have a website?  "
4, Watermelon snow!  
5," Its most likely x-inactivation and not truly a chimera 
https://en.m.wikipedia.org/wiki/X-inactivation "
6, https://www.sciencedirect.com/science/article/pii/S0165017399000600 
7, https://jamanetwork.com/journals/jamaneurology/article-abstract/577290 
8, Hi neuroscience student here! Swearing is typically more preserved in people with speech problems and even brain injury patients because its controlled by a different part of your brain than normal speech. Language is usually localized to the left hemisphere of the brain but emotional language (i.e. swearing) is controlled by both the left and the right hemispheres  
9," Thanks I will do that! I definitely understand, I wasnt expecting so much medical advice I just wanted to include a picture of the bruise so people understood why I needed to stop the spiro.  "
10, Hi! I have already seen a doctor and am waiting back on test results. My post was intended more to ask advice for alternative options for hormonal acne that arent medicine  
11, Still waiting to hear back from my doc but there isnt really any other explanation I can think of!  
12," From left to right: sunflowers, ageratum, zinnias, more zinnias. All are annuals  "
13," I work with kids in a mental health facility (they get really violent, Ive already gotten punched in the head a few times) so Im really hoping they are on good behavior until I get this sorted  "
14, Thank you! This is all really great info that Ill definitely look into. Im already on a grain free diet due to other reasons (I get migraines) and I also dont eat dairy  
15, It did at first but now just feels like a normal bruise (hurts when I press on it but otherwise doesnt bother me  
16, Sadly I cant do hormonal birth control due to migraine with aura :( but I appreciate the advise!  
17," I do have a lot of other small bruises but they werent as concerning as this giant one and another nasty one I had on my arm last week. But I hope youre right and its nothing to worry about!
 "
18," I cant be on hormonal birth control because I have migraine with aura, and I have hormonal acne. So what would be a better option?  "
19, Yeah normally I wouldnt be too concerned but I had a really nasty similar bruise on my arm for no reason last week. Also everyone doing the ropes course had bruising but nothing near this bad  
20, I take iron supplements every day already  
21, I used differin in the past with no real improvement but thanks for the advice!  
22," It doesnt really hurt now thankfully, thanks for the positive vibes!  "
23," It wasnt a very significant trauma at all, hence why I wanted to get it checked out. I was climbing at a ropes course thing at work (I work with kids) and basically using my legs to pull myself into a higher beam (sloth style is the best way to describe it) if that makes sense at all hahahaha  "
24," Wow I had no idea! Ive been taking the curcumin for well over a year with no issues, is it possible the Spironolactone increased that effect of the curcumin? Thanks so much for your insight  "
25," Yeah based on my research it seems pretty rare that it would cause clotting issues but abnormal bruising is listed as a rare/serious side effect. Im not taking any other meds but I do take some supplements (methylfolate, iron, magnesium, curcumin, vitamin d)  "
26," I got blood tests to check my platelet levels, waiting to hear back  "
27, Not entirely sure yet but it seems like a logical possibility that it could be the spiro causing the bruising. I got blood tests to check my platelet levels and electrolytes.  
28, Yeah I had a blood test yesterday to check my platelet levels... but this is kinda scaring me away from the med route  
29,  
30,  
31, My boy Fish (aptly named) does the same thing! 
32," For my job since Im working with children, a lot of whom have been sex trafficked in the past, they have pretty intense background checks  "
33, If she is actively suicidal she doesnt have to consent to be admitted to a psych hospital. Ive been involuntarily committed after a suicide attempt in Colorado and the hospital definitely helped me  
34, How old is your sister?  
35," I just started a job in the mental health care field, and one of the questions for the physical was if I had been hospitalized for psychiatric issues. Because my answer was yes (not like you can lie about that they can always figure it out) my physical was put on hold and I needed a note from my primary care doc saying I was mentally fit for the job. So it was a little more complicated and took longer than it would have had I not been bipolar, but it wasnt a huge issue.  "
36," White Noise by Don Delillo. I read it in high school and it was my first exposure to the concept of hyper reality, it changed the way I viewed the world  "
37," I throw them on the wheel, kinda like Im making a bud vase but then round out the top making a small hole. I also leave the bottoms thick so I can carve it to a rounded shape. When I take it off the wheel I use my thumb to press in one side to make the bowl part. When its leather hard I use a needle tool to make the holes, and carve it to the desired shape. 

When it comes to glazing I use a very small amount of wax on all of the holes, and then after glazing I scrape any glaze that gets into the holes out with a needle tool. 

 "
