,post
0," Somthing that worked for me; that a friend said worked for her after 2 years of failing to find a therpist. Was to look at their pictures and then, read their bios. First see how you feel just by their appearance and then look at thier bios for things like their word choice make it much easier to choose. 

Also a correlation I've seen, often is the really good therapists don't take any insurance. But still tend to have competitive rates. Useing these 3 thing helped me narrow it down pretty quick and find a very good therapist.

(GA, USA is where I'vealways lived so keep that in mind) "
1, Didn't bolas also create the Amonkhet gods? 
2," I'm def no expert but shouldn't this also ask if you are or are not medicated?

Ex) Such as i used to have hypersomnia and would sleep 12-16 hours a day.
But now i only sleep a few hours during bad mental health days. It changes quite a few of the answers i would have given. "
3, Drugs 
4, Quite alot of Companies have finally figured out they do much much better if their employees are happy. 
5, My wife is a world top 500 raider in WoW it's pretty cool to see. 
6, Love that card way better than arcane denial. 
7," Control beats combo.
Combo beats stax.
stax beats control.

at least the closest you can get to a rule of tumb with cedh IMO. "
8, #truefacts 
9, Also it's black and you have ritual effects. 
10, I believe it probably stems from the existential dread. I'm in the same boat op. 
11, Same as most posts here. 
12, I def get it being annoying if drugs is all people talk about. Like drugs are def fun but your life doesn't need to revolve around them. Im guessing most of these people are in thier late teens early 20s? 
13, I don't follow like they are in your house? 
14, Op if it upsets you so much why do you interact with these people? 
15," A little context 
I  have had depression since i was around 11 now 27 
I was diagnosed with severe atypical depression and generalized anxiety along with a slew of traumas  2 years ago after i tried to kill myself.

 Since then i have gradually learned to take care of my mental heath in a healthy way, as well as found a solid combination of drugs. While at work today i noticed i was day dreaming about how to achieve a financially stable future and i was actully excited about it!  Just wanted to share. 

PS - If you are still in that dark place know that it's worth fighting off the depression you got this fam. "
16, They also are getting a second prints run next month right? 
17, Also professional chefs is a hugely male dominated field. 
18, [[Sudden spoiling]] card is nuts. 
19, There was a huge movement in the late 90s early 2000s to change it but it never caught on. For the most part i agree with it but swapping from miles to kilometers and gallons to liters would fuck with alot of people's brains. 
20, [[Mikaues the unhallowed]] i love the amount of shenanigans you can do with him. Kver the past 5 years it's gone went from control to combo and now is being made into zombie tribal. Just a really flexable fun reanimator card. 
21, In my experience stax and chaos are way more hated. 
22, Godamn this is a good story 
23, Has there been an attempt on your life? 
24," Also [[grand abolisher]] [[hushwing gryff]] [[tithe taker]] [[kataki, war's wage]] [[sanctum prelate]] [[remorseful cleric]] [[runic armasaur]]. "
25," [[Spirit of the labyrinth]] , ashiok, narset, thats all i got off the top of my head. "
26, That's fuckin diabolical 
27, Honestly i think this is more of a sociological thing than a mental health thing. For some insane reason it's cool to have to ALWAYS be doing work or school. 
28, Awww shit i want updates if even they aren't slutty confessions. 
29, Damn you are my go to fap material now. 
30, Damn girl i hope you got your polio vaccine cause you won't be able to walk when i get done with you. 
31, Fuck i didn't know i could get this hard. 
32, I spat out my beer. That was fuckin great. 
33, Literally my exact thoughts. 
34, I this k my fav moment with this card was when my wife turn 2 equipped it to an inmoth nexus and proceeded to 1 shot someone. (Yes they milled 11 cards) 
35, You may want to checkout /rnsfw411 
36, Damn you have perfect nipples. 
37, (Male here) i would probably cry from how happy that would make me. And if i bought you slippers in return would 100% feel like garbage. 
38, In 3rd grade someone stole my zapdos card. 
39, Mikaeus the unhallowed deck is really fun. 
40, this is def alarming 
41, i'm not sure if this is a troll or not... 
42, F 
43," 15 years ago in high school i was working on a project with a girl i had a minor crush on. Anyways i was super focused on doing something i think i was makings and outline of a molecule or something. But she got really close to me for a second and she said ""do you wear contacts""?  me-""no why?"". her- ""not even colored ones?""me -""nope"".  She got even closer for a second then sat back and smiled and said  ""wow you have really beautiful eye's"".   I wasn't an ugly guy back in high school but the only thing i really had going for me was that i had put on alot of muscle that year so i occasionally got like an oohh you're really strong.That's the only time that a non relative complemented my eye's and it still makes me feel good about it.   So yeah we are pretty starved for anything other than being handsome or cute or strong.

TLDR; 15 years ago in high school a crush told me i had beautiful eye's and it still makes me happy."" "
44, I had the same worry but just using flonase or some kind of saline type nose spray once a day made the allergies almost a non issue. The reason i got it done was is i started to get sleep apniea. And it is unbelievable better. 
45," I would also recommend that you don't say things like ""it looks great trust me"" and *then* do things like rub his chest i literally never believe my wife if she does it in that order.  If you touch him like you want him and then just say ""mmmhh"". Or any number of ridiculously sexy things women can do it will probably put him in a really good mood or embarrass him to the point that he thinks your messing with him. Will 1000% work if you ""follow up ;)"" later that day.  


Edit: typo "
46," legit probably thinks you have a crush on him, or need somthing. "
