,post
0," Granted. In a moment of perfect clarity, you finally understand. You're amazed how you had never before noticed the superior comfort and durability of flannel. You are completely mind-blown by the generous cargo room and the all wheel drive, go anywhere capability of the Subaru Outback. These revelations change your life forever.

 Whenever your friends or family try to have a conversation with you, you only talk about Subaru's zero landfill plant in Indiana. You lose all your friends, and your family have you committed to a mental institution.

At the institution only female doctors are allowed to see you, and they must all be, or at least pretend to be, lesbians. This is because you have said that they are the only ones you trust and the only ones who get you.

You spend the rest of your days in the institution. You constantly pester the staff with questions like ""Is your favorite cloth brushed flannel or unbrushed flannel and why?"" You're also known for randomly screaming out bits of trivia, like the fact that all Subaru Outbacks come standard with raised roof racks and enhanced tie-downs. "
1," This is the amputation thing, right? "
2," Granted. After countless reports of breaking and entering, police finally get the suspect in custody: an old man named Kris Kringle.

During interrogation Kringle not only cofesses, he also admits to stalking little children and watching them as they sleep. When asked why, he says he wanted to see if they were ""naughty or nice"". He continues on, telling police that he brought toys to the children he liked and often ate food from the victims' homes, turning the b e into burglary.

Parents are outraged when the news gets out. Protests break out worldwide as people demand justice. News outlets cover nothing but this story.

After the longest and most expensive trial in history, Kringle is found guilty on over a billion counts of burglary, stalking, voyeurism, and sexual grooming. He is sentenced to life in prison without the possibility of parole.

The other inmates find out why he's locked up. A large group jump Kringle in the shower and beat him to death. During the beating his belly shakes like a bowl full of jelly. "
3, Granted. You now have a free subscription to every porn site. This includes illegal child porn sites. The police are at your door. 
4, I wish I could upvote you twice for the Hawking radiation. Nicely done. 
5, Granted. Now they blow. 
6," Granted. Drive-bys are no longer carried out with guns. Now they drive up slowly, throw an improvised explosive at someone's house, and speed off.
Militaries quickly lose all their small arms. They can't risk putting troops on the ground without guns, so they rely more and more on explosives to fight the enemy. Civilian casualties skyrocket. Some militaries, out desperation, resort to nuclear weapons. "
7," Granted. With over three hundred thousand subscribers,  it's virtually guaranteed that some of us are pretty terrible. Most of us go for a stroll in the park or enjoy some ice cream during our nice day. Some of us, however, spend our nice day getting away with crimes and causing bad things to happen to innocent people. One or two of us may even have a lovely day of murdering others. We had a nice day individually. As a society we had criminals go free, an increase of pain and suffering, and maybe a couple of homicides. "
8, Granted. Pay is adjusted down to whoever makes less. 
9," Granted. Your wife gives up everything in her life so that she is available for you to have sex with. Don't get the wrong idea, though. She is not happy about it. You see her struggling to talk through her tears as she declines every invitation she receives. She misses births, graduations, even funerals because she can't risk being busy when you want sex. She suffers from depression and breakdowns. She refuses to get help because you might want sex while she's at the docor's office. She is a broken husk of her former self. But, hey! You can have sex with her more often. Congratulations. "
