,post
0, Whats the wording currently? 
1," Both Jailor and mafioso claimed Jailor D1 and fought about it a ton.

Janitor cleans Jailor N1

Another maf claims to be med and says he was [important town role]

Maf was really lucky RT/TS didnt have a red or real med "
2, The role list would confirm. Its like escort and consort (minus sheriff inv results) 
3, I open gifts daily. Just in it for the xp. I send gifts when I can. 
4," Me too. They really miscast Alaska from the southern, curvy, charming portion. Havent seen it yet, but in the book her thing is sex appeal, particularly in her body type "
5," I'm going to assume that the video is informative in nature and regards arms sales. 

 #x200B;

1) Identify the arguments that you find yourself drawn to in the video - do they tell a story? If so, what is that story?

2) Break down the ""story"" into 1AC contentions. Inherency, plan, solvency, \[framing\]

3) Take each contention, and figure out the arguments that comprise it. 

4) Find a card for each argument. 

5) Figure out what arguments are missing and fill them in (does it look like a typical aff?)

6) Because you're a novice, take other's 2AC blocks and modify them so they make sense to both you and your aff. "
6," For just warming up? My usual routine is do a 1AC/Typical 1NC slowly, then top speed, then average speed. "
7," I really like the concept, but I think a few factors are missing. The ones I caught were: religion raised, sexual orientation, and location "
8," Awwww it's okay love. There's always room to learn, even if those in your game were harsh. Jsyk, psychic is meh hard to fake (think LO, tracker, crusader), so the worst you can do is get lynched and reveal a couple confirmed evils in your will through visions. "
9, [removed] 
10, I. Interested 
11," Not editing this, just throwing together my thoughts. 

Diction - [Strangles](https://politics.theonion.com/gop-lawmakers-watch-silently-as-trump-strangles-each-of-1838885386), emphasis on how much trump sucks

Diction - wait-and-see approach, refers to actual politics, thus why the onion is emulating real political websites

Metaphor (extended) - strangled all their loved ones to death.

You could do some irony thing with how the president's role is to protect their citizens. 

Hyperbole - ometimes a bit outside the ordinary

Diction - ommander-in-chief asphyxiated

Allusion - barbed wire (likely to the wall or another barrier of some sort) "
12," Oof, I was wondering if we had the same course program "
13," ShmilyLin1

Oh, me too! Did you by any chance have summer homework with 3(?) essays and a book? "
14," I haven't taken AP spanish yet, but I think that the majority of the class is understanding what the AP test wants from you (but what else is new). As long as you have a decent idea of conjugation and know your vocab, you should be good to just take a few practice tests and have a native speaker or teacher review it. "
15," AP students, homie. Have a bit of academic integrity "
