,post
0," 1273
I consider myself quite well informed about geopolitics, but man this made me feel stupid "
1, Linguistics - where the hell the human language comes from 
2," To be honest, I've heard most of these utterances produced by native speakers rather than non-native... Especially the ""expresso"" one was driving me crazy (I used to work in a coffee shop). But maybe I've just met the wrong people haha "
3," In my opinion, unless it would help you to get a better job or help you in any other way, there's no point in learning a language you don't like because you will have no motivation to do so. If you like the way Polish sounds and would like to speak it just because of that, go for it. If you think German is cool, go for it (this one could be actually pretty useful). I'm speaking from my own experience: I tried learning Japanese just because it's believed to be a useful language, but I didn't really have any other motivation, so I gave up. But then I picked Finnish, which I'll probably never use but damn, the language is sooo cool and I love it. "
4," I failed my first attempt because ""my driving was too aggressive"". I didn't make any mistake, just that. Later I learned that they needed to fail someone to meet the quota or whatever. On the second attempt, I got a commissar who is known for being a giant arsehole. He took me to the worst parts of the city, during the morning traffic, clearly wanting me to fail again, but I made it. "
5," Sibling of the year
But honestly, I love this and I wish to have a younger sibling I could torture like that "
6," I'm not even in my final year yet, but in first year I started buying the books I borrowed the most in the library or those that proven themselves to be very useful and which I plan to use for my dissertation so I can have a physical copy for my own library which I can access anytime I want. So far I've spent approx. 300, but I don't regret it. "
7," In Czech ""panna"" means virgin "
8, I can confirm that 29 is 100% right 
9," I'm really sorry you had to stop visiting your family because of that. Politics these days is unfortunately something that causes quarrels within families which just isn't right. I don't know about you, but in my country you can't really watch a TV or browse the internet without seeing any political stuff, it's kinda everywhere. I'm really glad we agreed on not talking about it, bc otherwise we would be arguing constantly. "
10," We try not to talk about it, and if someone needs to vent their anger about the news or sth, we try our best not to comment on it. It works most of the time, except when we visit grandma, she just can't accept that someone has opposite views to hers. "
11, Leather 
12, Those who like pineapple on pizza and those who think it's a blasphemy 
13," My friend's brother is a proctologist and he did it exactly because of that - sure, he wants to save lives and help people, but he also needs money, and he knew that if he becomes a proctologist, he wouldn't have a problem to get a well-paid job easily, unlike his classmates who chose to specialise in some more popular branch. "
14, Well someone has to be the unique one 
15," I completely agree with you. Majority of what the non-equestrian people see is horseracing and so it's natural that it is the one most talked about. But (probably) thanks to that, it became the most controlled one of the equestrian sports. There are still practices in other sports that are way more dangerous and cruel to horses than the whole horseracing itself, but people don't talk about it that much because they don't know about it. 
Once I was talking about dressage with my friend (who knows absolutely nothing about horses), and when I showed her one video, she got completely crazy about how unnatural it is for the horse and how he is suffering and how this should be banned. Ok, I get it that it might seem like this to some people, but... it's not THAT unnatural for the horse as it looks, and if everything is donr right (no rollkur and stuff), then the horse is not suffering at all. You just ride a horse, and based on what you do, you expect it to do certain things. And that's kinda the whole point of horseriding. Of course people can then argue how the horseriding itself is cruel and unnatural, but this seems to me like complete nonsense.
The horses that are used for sport are born for sport - they have it in their genes and most of them really like what they do (like the crazy racing horses). So as long as no harming or unethical practices are used, the animals are totally ok and happy. "
