,post
0," You're doing great, please continue to bless the world with this wonderful foam technique "
1," Depends on how much you spend and how difficult your drink is.  If it's a standard build Frappuccino, then being a polite person is all I need. If you're a regular then a buck or two is good. If you ask for a secret menu drink or a bunch of drinks (+4) then 3-5 bucks would be ideal. 

Please do keep in mind that this is my somewhat arbitrary system based on what I'm used to at my store. 

You're probably doing okay since you actually care. "
2," I'll be happy to make this drink when the customer is polite and tips for the time and effort.
So basically never. "
3," Whenever one of my co-workers goes on a milk run, he yells out to the Kroger employees "" I GOT A LOTTA OREOS AT HOME, AND I RAN OUT OF MILK""

Nobody ever says a word. "
4," I've always had this but I've never known how to talk about it. On the rare occasions that I cry, after a little bit I'll still be physically crying but I stop feeling anything and start wondering why I'm even crying in the first place. I've had this ever since I can remember, and I can totally relate to this experience, if not the trauma. "
5," I know we're all thinking it so here it is



Ok boomer "
6," My store got a new one after one of the ovens caught on fire twice, that's all it took. "
7, It's really good! You deserve all that karma! 
8, You get to see the next day and see the possible outcomes. This way you can never get caught in a traffic jam or have a fatal accident. 
9," I'm one of those broken sad people and I almost wish that I had anger issues because then I'd at least be able to have some kind of motivation in my life. I know the grass is always greener on the other side, but man I don't know how I'll get through life without wanting anything out of it. "
10, Can we start an Erin can thread? I feel like she gets overshadowed a lot. 
11, Heya 
12," If it does, sign me up! "
13," I'm thinking more about social media addiction and the instant gratification/stimulation problem that's arising, bit whatever floats your aquatic craft, my dude "
14, But is the social media outlet influencing how we behave on a daily basis? 
15," A ton of people are a-holes but less of them are racist. You have to deal with both parties, keep fighting the good fight.

May the Siren smite all the Karens in your district "
16, More helpful comments please. I'm here too and I'd like to want to get out. 
17," Tenured partners are awesome, thanks for teaching ten years worth of new baristas "
18, ....And may the Siren make your coffee hot and kill the scourge of Karens 
19, It all depends on tone 
20," But you don't miss those days anymore, huh "
21," That would make our lives easier, of course there isn't an app. "
22," I don't want people to see the real me. People who know me and love me think I'm great, but I always think that there's something awful about me that people shouldn't see. "
23," Make sure that when you're training that your trainee is the number one priority. Work with the shift on duty to be placed where you need to be on the floor, or not on the floor at all. Sometimes managers try to make trainers train while at another position and that just doesn't work. Give your trainee all of your attention so that you can give them the best start they can get. "
24, Pumpkin spice just isn't that great of a flavor 
25," If you do something irl together then it's not that weird to text her about it later. If you're in a group with her it can be as simple as complementing something that happened or asking about future plans, then make your move. "
26, Ataaaaaaaaack! 
27," In that case, call your DM and let them know. The sandwich thing seems a little overkill, but it's not cool to have only one person in the store after close. "
28," You can totally call FCC or Partner services, but in my experience they usually don't do too much even when there is a legitimate problem. 

If you do report it, don't let anybody know you're doing so. Once word gets out that can look badly on you if they're innocent but just neglecting rules. "
29, The manager will immediately know if the cash count is off and the partner is stealing. They might just be trying to play it cool and not show their hand so that they can compile evidence. 
30, I'd be interested in a Democratic monarchy if King Croc has an opinion about Healcare 
31," Find events that you can join with people of similar interests. If they're at an event, they'll probably be fine with talking with you. "
32," Imagine how you'd respond if they treated somebody you care about like they treat you. 
Channel that feeling and make them realize they have better things to be doing with their lives. "
33, Oh heck no 
34," There's no doubt, that shift was being a total butt. However, it's better for you to call off ahead of time and let them try to get coverage than to show up sick and unable to work. When you have a legitimate reason to call off, nobody can blame you for following the health code and respecting your fellow partners and the customers. As a shift at my store, it's so much better to have a notice in advance so I can plan accordingly than to learn that somebody's sick when they come in for a shift. 

The shift is was a jerk, but you put them in a tough situation. "
35," According to the pic, apparently not. "
36," Why are you doing this to me?

Because we're Starbucks, and life is a fucking nightmare.

Any other John Mulaney fans in the thread? "
37, Looks like this wasn't properly assesed either 
