,Unnamed: 0,post
0,0,  nt drop take time suicide attempt land hospital take time helpful allow return well student time difficult decision
1,1,  definitely doable prepared lot mosquito
2,2,  definitely
3,3,  wow love website
4,4,  Watermelon snow
5,5,  likely x inactivation truly chimera https en m wikipedia org wiki x inactivation
6,6,  https www sciencedirect com science article pii S0165017399000600
7,7,  https jamanetwork com journal jamaneurology article abstract
8,8,  hi neuroscience student Swearing typically preserve people speech problem brain injury patient control different brain normal speech Language usually localize leave hemisphere brain emotional language I e swear control leave right hemisphere
9,9,  thank definitely understand nt expect medical advice want include picture bruise people understand need stop spiro
10,10,  hi see doctor wait test result post intend ask advice alternative option hormonal acne nt medicine
11,11,  wait hear doc nt explanation think
12,12,  leave right sunflower ageratum zinnia zinnia annual
13,13,  work kid mental health facility violent ve get punch head time m hope good behavior sort
14,14,  thank great info Ill definitely look m grain free diet reason migraine nt eat dairy
15,15,  feel like normal bruise hurt press nt bother
16,16,  sadly nt hormonal birth control migraine aura appreciate advise
17,17,  lot small bruise nt concern giant nasty arm week hope right worry
18,18,  nt hormonal birth control migraine aura hormonal acne well option
19,19,  yeah normally nt concern nasty similar bruise arm reason week rope course bruise near bad
20,20,  iron supplement day
21,21,  differin past real improvement thank advice
22,22,  nt hurt thankfully thank positive vibe
23,23,  nt significant trauma want check climbing rope course thing work work kid basically leg pull high beam sloth style good way describe make sense hahahaha
24,24,  wow idea ve take curcumin year issue possible Spironolactone increase effect curcumin thank insight
25,25,  yeah base research pretty rare cause clot issue abnormal bruise list rare effect m take med supplement methylfolate iron magnesium curcumin vitamin d
26,26,  get blood test check platelet level wait hear
27,27,  entirely sure like logical possibility spiro cause bruising get blood test check platelet level electrolyte
28,28,  yeah blood test yesterday check platelet level kinda scare away med route
29,29, 
30,30, 
31,31,  boy Fish aptly name thing
32,32,  job m work child lot sex traffic past pretty intense background check
33,33,  actively suicidal nt consent admit psych hospital ve involuntarily commit suicide attempt Colorado hospital definitely help
34,34,  old sister
35,35,  start job mental health care field question physical hospitalize psychiatric issue answer yes like lie figure physical hold need note primary care doc say mentally fit job little complicated take long bipolar nt huge issue
36,36,  White Noise Don Delillo read high school exposure concept hyper reality change way view world
37,37,  throw wheel kinda like m make bud vase round make small hole leave bottom thick carve round shape wheel use thumb press bowl leather hard use needle tool hole carve desire shape come glazing use small wax hole glazing scrape glaze get hole needle tool
38,38,  thank advice definitely nauseous food ve find particularly good
39,39,  try nt take consistently kinda hard work second shift right bed time usually struggle urge nt notice difference day take hard let know go
40,40,  amazing talented want hear song
41,41,  Artemis Fowl series like young adult fiction
42,42,  come thing basically finish day ago
43,43,  like make personalized mug carve want
44,44,  Pygmy Chuck Palahnuik reason read thing book bring wilderness backpacking trip read
45,45,  think prevent inappropriate thing blanket
46,46,  Alchemist Paulo Coelho
47,47,  Hahahaha love currently work residential program girl complex trauma basically long term mental hospital lax rule flip shit daily allow blanket common area
48,48,  r vaporwaveaesthetic
49,49,  Zen art motorcycle maintenance
50,50,  reusable water bottle earth thank
51,51,  thank
52,52,  hi guy read article mention study https www ncbi nlm nih gov m pubme find evidence NAC supplement lessen excoriation behavior try experience thank love
53,53,  mom read Win Friends Influence People young think pretty formative nt read adult
54,54,  definitely feel like memory decline start have real episode
55,55,  think likely x inactivation chimerism https simple m wikipedia org wiki Mosaic genetic
56,56,  think likely example x inactivation male cat definitely chimera
57,57,  call mosaic genetic cause different thing commonly x chromosome inactivation easily observable cat cat gene determine fur color x chromosome happen female pattern x chromosome silence cat develop stem cell independently silence x chromosome result cell express father express mother
58,58,  recently discover Spotify feature love use song order know s way change
59,59,  Unquiet Mind Kay Redfield Jamison s bipolar Quiet Room Lori Schiller schizoaffective disorder autobiographical good insight author go
60,60,  basically Philip k dick
61,61,  sure good shoe good run form shin splint sneak
62,62,  think friend know ve find super honest helps m go rough time nt feel like try hide
63,63,  sort relationship want move forward want sort closure want life think know ideal situation remain mentally prepared reaction apologize way treat
64,64,  cool check post history damn dude incredible artist
65,65,  love place go spring break senior year college
66,66,  wait coyote gulch
67,67,  genetic genie use raw datum find snps guide mean say grain salt nt exact consensus snp mean term protein function
68,68,  yeah m sure deplin high dose like people excessive mthfr mutation
69,69,  definitely nt hope similar situation thought folate go miracle cure way complicated suggest check Dr Ben Lynch ton information supplementation specific snp http mthfr net doc put deplin definitely monitor handle initially way cause negative effect ve find counter supplement folinate actually work well methylate form different
70,70,  lucky workmate
71,71,  Weekend trip fun cause s stress forget water purification water bottle hydration bladder Headlamp check battery sleep bag pad Stove fuel Pot Knife Food Shelter tent tarp rain gear warm jacket pant Camp shoe crocs chaco etc Dry sock sleep Hat glove cold Bear spray bear prone area Med kit thing treat cut blister tweezer ibuprofen thing like wrap duct tape water bottle handy oh contractor trash bag work great lining backpack
72,72,  hey m d suggest monitor memory externally journale talk close idea bad stop take
73,73,  depakote memory absolutely terrible point nt memory stop take blood level get high low dose memory slowly come suck think effective med ve try definitely nt memory issue
74,74, 
75,75,  randomly assign freshman year roommate got decide live second year help hard time life mental hospital suicide attempt people visit despite insanely busy pre med schedule say goodbye time cry graduation miss touch
76,76,  m sure funny thing come mind currently go mike run barefoot city singing
77,77, 
78,78,  thank
79,79,  clarify weld vertical weave
80,80, 
81,81,  try magnesium supplement help jaw clenching effect med wo nt hurt
