,Unnamed: 0,post
0,0,  remove
1,1,  travel halfway country car today fiance family return home family reunion kid travel wake v ing morning rode car hope fhat d help fear right leave d car feeling like need terrified entire trip need stop exit d bad adult start v ing need suggestion help thank advance
2,2,  yes
3,3,  eat yesterday chance food poisoningnwoukd kick feeling throw diarrhea point probably clear odd indian spice
4,4,  tremor attack body convulse look like seize Klonopin help significantly tremor worsen anxious comment consistent coping mechanism find
5,5,  fan Green go write ocd wish mention specifically ocd appreciate detail take describe Aza obsession probably read
6,6,  unbelievably severe pure o OCD mg luvox mg klonopin need take day mg wellbutrin have crippling panic attack daily people notice hinder normal activity try cope mechanism therapeutic tactic know frustrated severity trigger throwing go happen control know suggestion
7,7,  exactly happen necessarily bad thing make weed long fine line relax anxious
8,8,  actually make lot sense think thank
9,9,  severe ocd like weed help barely high cause worry escalate panic attack smoke type weed outcome enjoy smoke time smoke worry panic similar issue help shed light problem
10,10,  severe ocd like weed help barely high cause worry escalate panic attack smoke type weed outcome enjoy smoke time smoke worry panic similar issue help shed light problem
11,11,  pure o give step plan combat obsession take work helpful good read
12,12,  Brainlock remember author fantastic
13,13,  Birth control help
14,14,  feel pain audition year ago perfection react mistake confident familiar piece significant effort confidence big thing let mistake shake indication mistake sure fine nervous way audition good luck
15,15,  glad find work mg find cause bit drowsiness bed take care problem usually feel little couple week adjustment agree make huge difference good luck
16,16,  look page version Scribd include little word
17,17,  scribd great look try look thank
18,18,  search copy song little Words Steel Pier look find hope know thank
19,19,  currently link Scribd piano book Best theme song
20,20,  pretty severe OCD big obsession get migraine get time time got fairly frequently probably time year OCD come play start obsess fact think happen month th day specific time know sound insane start happen like get brace time migraine stop year December March December think get time wonder constant obsessing cause migraine strange dizzy feeling month actually migraine make feel like move know imagine actually happen freak pretty badly advice help thank
21,21,  pretty severe OCD big obsession get migraine get time time got fairly frequently probably time year OCD come play start obsess fact think happen month th day specific time know sound insane start happen like get brace time migraine stop year December March December think get time wonder constant obsessing cause migraine strange dizzy feeling month actually migraine make feel like move know imagine actually happen freak pretty badly advice help thank
22,22,  cause joy week old
23,23,  mod suggest title post need change true kitten find dumpster abandon mother fire cat purchase thank personal appearance evaluation see modeling site
24,24, 
25,25,  okay thank
26,26,  apology new post familiar rule remove soon find edit button
27,27, 
28,28, 
